,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,Alphabet Size
67,WLStarLearner,PDFA - 25e99337dcb74bc88a62528170d934cc,103,103,5,2.80819217604585,612,1,207.0,3.0,,,0.0,0.0,1.0,0,0,2
68,WLStarLearner,PDFA - 25e99337dcb74bc88a62528170d934cc,103,103,6,2.864122230093926,612,1,207.0,3.0,,,0.0,0.0,1.0,0,0,2
69,WLStarLearner,PDFA - 25e99337dcb74bc88a62528170d934cc,103,103,7,2.838238012045622,612,1,207.0,3.0,,,0.0,0.0,1.0,0,0,2
70,WLStarLearner,PDFA - 25e99337dcb74bc88a62528170d934cc,103,103,8,2.696949445991777,612,1,207.0,3.0,,,0.0,0.0,1.0,0,0,2
71,WLStarLearner,PDFA - 25e99337dcb74bc88a62528170d934cc,103,103,9,2.663971337955445,612,1,207.0,3.0,,,0.0,0.0,1.0,0,0,2
72,WLStarLearner,PDFA - aa5ad812d394400d96f84f7c0cadbc08,96,96,1,2.2717771839816123,570,1,193.0,3.0,,,0.0,0.0,1.0,0,0,2
73,WLStarLearner,PDFA - aa5ad812d394400d96f84f7c0cadbc08,96,96,2,2.2511653969995677,570,1,193.0,3.0,,,0.0,0.0,1.0,0,0,2
74,WLStarLearner,PDFA - aa5ad812d394400d96f84f7c0cadbc08,96,96,3,2.3332784429658204,570,1,193.0,3.0,,,0.0,0.0,1.0,0,0,2
75,WLStarLearner,PDFA - aa5ad812d394400d96f84f7c0cadbc08,96,96,4,2.315891296020709,570,1,193.0,3.0,,,0.0,0.0,1.0,0,0,2
76,WLStarLearner,PDFA - aa5ad812d394400d96f84f7c0cadbc08,96,96,5,2.2589560280321166,570,1,193.0,3.0,,,0.0,0.0,1.0,0,0,2
77,WLStarLearner,PDFA - aa5ad812d394400d96f84f7c0cadbc08,96,96,6,2.2190375149948522,570,1,193.0,3.0,,,0.0,0.0,1.0,0,0,2
78,WLStarLearner,PDFA - aa5ad812d394400d96f84f7c0cadbc08,96,96,7,2.2468330409610644,570,1,193.0,3.0,,,0.0,0.0,1.0,0,0,2
79,WLStarLearner,PDFA - aa5ad812d394400d96f84f7c0cadbc08,96,96,8,2.3151216270634905,570,1,193.0,3.0,,,0.0,0.0,1.0,0,0,2
80,WLStarLearner,PDFA - aa5ad812d394400d96f84f7c0cadbc08,96,96,9,2.2975420500151813,570,1,193.0,3.0,,,0.0,0.0,1.0,0,0,2
81,WLStarLearner,PDFA - 74981addc7a14c4185076714575d0863,109,109,1,2.7495963179972023,648,1,219.0,3.0,,,0.0,0.0,1.0,0,0,2
82,WLStarLearner,PDFA - 74981addc7a14c4185076714575d0863,109,109,2,2.700468542985618,648,1,219.0,3.0,,,0.0,0.0,1.0,0,0,2
83,WLStarLearner,PDFA - 74981addc7a14c4185076714575d0863,109,109,3,2.7734237340046093,648,1,219.0,3.0,,,0.0,0.0,1.0,0,0,2
84,WLStarLearner,PDFA - 74981addc7a14c4185076714575d0863,109,109,4,2.7318537529790774,648,1,219.0,3.0,,,0.0,0.0,1.0,0,0,2
85,WLStarLearner,PDFA - 74981addc7a14c4185076714575d0863,109,109,5,2.781233796966262,648,1,219.0,3.0,,,0.0,0.0,1.0,0,0,2
86,WLStarLearner,PDFA - 74981addc7a14c4185076714575d0863,109,109,6,2.7850383159238845,648,1,219.0,3.0,,,0.0,0.0,1.0,0,0,2
87,WLStarLearner,PDFA - 74981addc7a14c4185076714575d0863,109,109,7,2.7064245180226862,648,1,219.0,3.0,,,0.0,0.0,1.0,0,0,2
88,WLStarLearner,PDFA - 74981addc7a14c4185076714575d0863,109,109,8,2.811604861053638,648,1,219.0,3.0,,,0.0,0.0,1.0,0,0,2
89,WLStarLearner,PDFA - 74981addc7a14c4185076714575d0863,109,109,9,2.733367708977312,648,1,219.0,3.0,,,0.0,0.0,1.0,0,0,2
90,WLStarLearner,PDFA - a8a880c004cc46fdb09df8075415833b,99,99,1,5.111162304063328,1960,1,397.0,5.0,,,0.0,0.0,1.0,0,0,4
91,WLStarLearner,PDFA - a8a880c004cc46fdb09df8075415833b,99,99,2,5.0018675739411265,1960,1,397.0,5.0,,,0.0,0.0,1.0,0,0,4
92,WLStarLearner,PDFA - a8a880c004cc46fdb09df8075415833b,99,99,3,5.136143406969495,1960,1,397.0,5.0,,,0.0,0.0,1.0,0,0,4
93,WLStarLearner,PDFA - a8a880c004cc46fdb09df8075415833b,99,99,4,5.063069032970816,1960,1,397.0,5.0,,,0.0,0.0,1.0,0,0,4
94,WLStarLearner,PDFA - a8a880c004cc46fdb09df8075415833b,99,99,5,5.082069036085159,1960,1,397.0,5.0,,,0.0,0.0,1.0,0,0,4
95,WLStarLearner,PDFA - a8a880c004cc46fdb09df8075415833b,99,99,6,5.048037674976513,1960,1,397.0,5.0,,,0.0,0.0,1.0,0,0,4
96,WLStarLearner,PDFA - a8a880c004cc46fdb09df8075415833b,99,99,7,5.133927036891691,1960,1,397.0,5.0,,,0.0,0.0,1.0,0,0,4
97,WLStarLearner,PDFA - a8a880c004cc46fdb09df8075415833b,99,99,8,5.1702548119938,1960,1,397.0,5.0,,,0.0,0.0,1.0,0,0,4
98,WLStarLearner,PDFA - a8a880c004cc46fdb09df8075415833b,99,99,9,5.026517619960941,1960,1,397.0,5.0,,,0.0,0.0,1.0,0,0,4
99,WLStarLearner,PDFA - b32c38c978ef4c1082745efe2b4f9832,103,103,1,4.885852467035875,2040,1,413.0,5.0,,,0.0,0.0,1.0,0,0,4
100,WLStarLearner,PDFA - b32c38c978ef4c1082745efe2b4f9832,103,103,2,4.931081990944222,2040,1,413.0,5.0,,,0.0,0.0,1.0,0,0,4
101,WLStarLearner,PDFA - b32c38c978ef4c1082745efe2b4f9832,103,103,3,4.723252032068558,2040,1,413.0,5.0,,,0.0,0.0,1.0,0,0,4
102,WLStarLearner,PDFA - b32c38c978ef4c1082745efe2b4f9832,103,103,4,4.89467142696958,2040,1,413.0,5.0,,,0.0,0.0,1.0,0,0,4
103,WLStarLearner,PDFA - b32c38c978ef4c1082745efe2b4f9832,103,103,5,4.767137099057436,2040,1,413.0,5.0,,,0.0,0.0,1.0,0,0,4
104,WLStarLearner,PDFA - b32c38c978ef4c1082745efe2b4f9832,103,103,6,4.81231526506599,2040,1,413.0,5.0,,,0.0,0.0,1.0,0,0,4
105,WLStarLearner,PDFA - b32c38c978ef4c1082745efe2b4f9832,103,103,7,4.835647341096774,2040,1,413.0,5.0,,,0.0,0.0,1.0,0,0,4
106,WLStarLearner,PDFA - b32c38c978ef4c1082745efe2b4f9832,103,103,8,4.811455255025066,2040,1,413.0,5.0,,,0.0,0.0,1.0,0,0,4
107,WLStarLearner,PDFA - b32c38c978ef4c1082745efe2b4f9832,103,103,9,4.972845433047041,2040,1,413.0,5.0,,,0.0,0.0,1.0,0,0,4
108,WLStarLearner,PDFA - 7126e85c93f143298200688ef7140b78,96,96,1,5.390459556947462,1900,1,385.0,5.0,,,0.0,0.0,1.0,0,0,4
109,WLStarLearner,PDFA - 7126e85c93f143298200688ef7140b78,96,96,2,5.62708049302455,1900,1,385.0,5.0,,,0.0,0.0,1.0,0,0,4
110,WLStarLearner,PDFA - 7126e85c93f143298200688ef7140b78,96,96,3,5.319995488971472,1900,1,385.0,5.0,,,0.0,0.0,1.0,0,0,4
111,WLStarLearner,PDFA - 7126e85c93f143298200688ef7140b78,96,96,4,5.508247463032603,1900,1,385.0,5.0,,,0.0,0.0,1.0,0,0,4
112,WLStarLearner,PDFA - 7126e85c93f143298200688ef7140b78,96,96,5,5.3692595339380205,1900,1,385.0,5.0,,,0.0,0.0,1.0,0,0,4
113,WLStarLearner,PDFA - 7126e85c93f143298200688ef7140b78,96,96,6,5.351584600983188,1900,1,385.0,5.0,,,0.0,0.0,1.0,0,0,4
114,WLStarLearner,PDFA - 7126e85c93f143298200688ef7140b78,96,96,7,5.427676169085316,1900,1,385.0,5.0,,,0.0,0.0,1.0,0,0,4
115,WLStarLearner,PDFA - 7126e85c93f143298200688ef7140b78,96,96,8,5.217216804041527,1900,1,385.0,5.0,,,0.0,0.0,1.0,0,0,4
116,WLStarLearner,PDFA - 7126e85c93f143298200688ef7140b78,96,96,9,5.229329437948763,1900,1,385.0,5.0,,,0.0,0.0,1.0,0,0,4
117,WLStarLearner,PDFA - 2b569cb2627644878656bf668ba888b6,100,100,1,5.766177020967007,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
118,WLStarLearner,PDFA - 2b569cb2627644878656bf668ba888b6,100,100,2,5.6568279509665444,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
119,WLStarLearner,PDFA - 2b569cb2627644878656bf668ba888b6,100,100,3,5.56480300205294,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
120,WLStarLearner,PDFA - 2b569cb2627644878656bf668ba888b6,100,100,4,5.788303644978441,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
121,WLStarLearner,PDFA - 2b569cb2627644878656bf668ba888b6,100,100,5,5.581710748956539,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
122,WLStarLearner,PDFA - 2b569cb2627644878656bf668ba888b6,100,100,6,5.733500751899555,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
123,WLStarLearner,PDFA - 2b569cb2627644878656bf668ba888b6,100,100,7,5.683771654963493,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
124,WLStarLearner,PDFA - 2b569cb2627644878656bf668ba888b6,100,100,8,5.637613010010682,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
125,WLStarLearner,PDFA - 2b569cb2627644878656bf668ba888b6,100,100,9,5.650985218002461,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
126,WLStarLearner,PDFA - 071747f3ae1c4144b386e61ea89fdc49,100,100,1,5.905081775039434,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
127,WLStarLearner,PDFA - 071747f3ae1c4144b386e61ea89fdc49,100,100,2,6.20732330402825,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
128,WLStarLearner,PDFA - 071747f3ae1c4144b386e61ea89fdc49,100,100,3,6.306036464055069,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
129,WLStarLearner,PDFA - 071747f3ae1c4144b386e61ea89fdc49,100,100,4,6.205800337018445,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
130,WLStarLearner,PDFA - 071747f3ae1c4144b386e61ea89fdc49,100,100,5,6.291326430044137,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
131,WLStarLearner,PDFA - 071747f3ae1c4144b386e61ea89fdc49,100,100,6,6.029120462015271,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
132,WLStarLearner,PDFA - 071747f3ae1c4144b386e61ea89fdc49,100,100,7,5.987917595077306,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
133,WLStarLearner,PDFA - 071747f3ae1c4144b386e61ea89fdc49,100,100,8,5.844698537955992,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
134,WLStarLearner,PDFA - 071747f3ae1c4144b386e61ea89fdc49,100,100,9,6.016585438977927,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
135,WLStarLearner,PDFA - b23da9c2635a4f1ca74888cbb11e04dc,100,100,1,7.091348270070739,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
136,WLStarLearner,PDFA - b23da9c2635a4f1ca74888cbb11e04dc,100,100,2,7.083545012981631,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
137,WLStarLearner,PDFA - b23da9c2635a4f1ca74888cbb11e04dc,100,100,3,7.063362753018737,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
138,WLStarLearner,PDFA - b23da9c2635a4f1ca74888cbb11e04dc,100,100,4,6.944721826002933,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
139,WLStarLearner,PDFA - b23da9c2635a4f1ca74888cbb11e04dc,100,100,5,7.01510329102166,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
140,WLStarLearner,PDFA - b23da9c2635a4f1ca74888cbb11e04dc,100,100,6,7.098191433935426,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
141,WLStarLearner,PDFA - b23da9c2635a4f1ca74888cbb11e04dc,100,100,7,7.038177869981155,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
142,WLStarLearner,PDFA - b23da9c2635a4f1ca74888cbb11e04dc,100,100,8,7.003623189055361,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
143,WLStarLearner,PDFA - b23da9c2635a4f1ca74888cbb11e04dc,100,100,9,6.998315402073786,1980,1,401.0,5.0,,,0.0,0.0,1.0,0,0,4
144,WLStarLearner,PDFA - 448c1d5daa0c4dd6b8577dd30586ac54,97,97,1,6.03173767705448,1920,1,389.0,5.0,,,0.0,0.0,1.0,0,0,4
145,WLStarLearner,PDFA - 448c1d5daa0c4dd6b8577dd30586ac54,97,97,2,5.901313552982174,1920,1,389.0,5.0,,,0.0,0.0,1.0,0,0,4
146,WLStarLearner,PDFA - 448c1d5daa0c4dd6b8577dd30586ac54,97,97,3,5.952412821003236,1920,1,389.0,5.0,,,0.0,0.0,1.0,0,0,4
147,WLStarLearner,PDFA - 448c1d5daa0c4dd6b8577dd30586ac54,97,97,4,6.114838319015689,1920,1,389.0,5.0,,,0.0,0.0,1.0,0,0,4
148,WLStarLearner,PDFA - 448c1d5daa0c4dd6b8577dd30586ac54,97,97,5,5.876387338968925,1920,1,389.0,5.0,,,0.0,0.0,1.0,0,0,4
149,WLStarLearner,PDFA - 448c1d5daa0c4dd6b8577dd30586ac54,97,97,6,5.893018800066784,1920,1,389.0,5.0,,,0.0,0.0,1.0,0,0,4
150,WLStarLearner,PDFA - 448c1d5daa0c4dd6b8577dd30586ac54,97,97,7,5.870974223013036,1920,1,389.0,5.0,,,0.0,0.0,1.0,0,0,4
151,WLStarLearner,PDFA - 448c1d5daa0c4dd6b8577dd30586ac54,97,97,8,6.080197500996292,1920,1,389.0,5.0,,,0.0,0.0,1.0,0,0,4
152,WLStarLearner,PDFA - 448c1d5daa0c4dd6b8577dd30586ac54,97,97,9,6.104199219960719,1920,1,389.0,5.0,,,0.0,0.0,1.0,0,0,4
153,WLStarLearner,PDFA - 21575ccdbcbe4ee784db477f15f6d6e3,101,101,1,6.855093213962391,2000,1,405.0,5.0,,,0.0,0.0,1.0,0,0,4
154,WLStarLearner,PDFA - 21575ccdbcbe4ee784db477f15f6d6e3,101,101,2,6.79123295203317,2000,1,405.0,5.0,,,0.0,0.0,1.0,0,0,4
155,WLStarLearner,PDFA - 21575ccdbcbe4ee784db477f15f6d6e3,101,101,3,6.883706073043868,2000,1,405.0,5.0,,,0.0,0.0,1.0,0,0,4
156,WLStarLearner,PDFA - 21575ccdbcbe4ee784db477f15f6d6e3,101,101,4,6.93077597708907,2000,1,405.0,5.0,,,0.0,0.0,1.0,0,0,4
157,WLStarLearner,PDFA - 21575ccdbcbe4ee784db477f15f6d6e3,101,101,5,7.060389713034965,2000,1,405.0,5.0,,,0.0,0.0,1.0,0,0,4
158,WLStarLearner,PDFA - 21575ccdbcbe4ee784db477f15f6d6e3,101,101,6,6.738161536981352,2000,1,405.0,5.0,,,0.0,0.0,1.0,0,0,4
159,WLStarLearner,PDFA - 21575ccdbcbe4ee784db477f15f6d6e3,101,101,7,6.8884240159532055,2000,1,405.0,5.0,,,0.0,0.0,1.0,0,0,4
160,WLStarLearner,PDFA - 21575ccdbcbe4ee784db477f15f6d6e3,101,101,8,6.8964226701064035,2000,1,405.0,5.0,,,0.0,0.0,1.0,0,0,4
