,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,AbsoluteError
100,WLStarLearner,random_PDFA_nominal_size_200_8_1,205,205,2,28.924598639132455,3423,6,429.0,8.0,,,0.0,0.0,1.0,0,0,0.0
101,WLStarLearner,random_PDFA_nominal_size_200_8_1,205,205,3,28.88790753786452,3423,6,429.0,8.0,,,0.0,0.0,1.0,0,0,0.0
102,WLStarLearner,random_PDFA_nominal_size_200_8_1,205,205,4,29.17252057301812,3423,6,429.0,8.0,,,0.0,0.0,1.0,0,0,0.0
103,WLStarLearner,random_PDFA_nominal_size_200_8_1,205,205,5,29.556108623044565,3423,6,429.0,8.0,,,0.0,0.0,1.0,0,0,0.0
104,WLStarLearner,random_PDFA_nominal_size_200_8_1,205,205,6,31.316141448915005,3423,6,429.0,8.0,,,0.0,0.0,1.0,0,0,0.0
105,WLStarLearner,random_PDFA_nominal_size_200_8_1,205,205,7,29.331314482958987,3423,6,429.0,8.0,,,0.0,0.0,1.0,0,0,0.0
106,WLStarLearner,random_PDFA_nominal_size_200_8_1,205,205,8,28.34720189194195,3423,6,429.0,8.0,,,0.0,0.0,1.0,0,0,0.0
107,WLStarLearner,random_PDFA_nominal_size_200_8_1,205,205,9,29.33109569689259,3423,6,429.0,8.0,,,0.0,0.0,1.0,0,0,0.0
108,WLStarLearner,random_PDFA_nominal_size_200_8_2,205,205,1,34.457970323972404,3852,7,429.0,9.0,,,0.0,0.0,1.0,0,0,0.0
109,WLStarLearner,random_PDFA_nominal_size_200_8_2,205,205,2,35.97355448408052,3852,7,429.0,9.0,,,0.0,0.0,1.0,0,0,0.0
110,WLStarLearner,random_PDFA_nominal_size_200_8_2,205,205,3,34.20574410399422,3852,7,429.0,9.0,,,0.0,0.0,1.0,0,0,0.0
111,WLStarLearner,random_PDFA_nominal_size_200_8_2,205,205,4,35.56116350996308,3852,7,429.0,9.0,,,0.0,0.0,1.0,0,0,0.0
112,WLStarLearner,random_PDFA_nominal_size_200_8_2,205,205,5,35.09571236697957,3852,7,429.0,9.0,,,0.0,0.0,1.0,0,0,0.0
113,WLStarLearner,random_PDFA_nominal_size_200_8_2,205,205,6,34.667079713894054,3852,7,429.0,9.0,,,0.0,0.0,1.0,0,0,0.0
114,WLStarLearner,random_PDFA_nominal_size_200_8_2,205,205,7,34.55027164891362,3852,7,429.0,9.0,,,0.0,0.0,1.0,0,0,0.0
115,WLStarLearner,random_PDFA_nominal_size_200_8_2,205,205,8,34.28038129094057,3852,7,429.0,9.0,,,0.0,0.0,1.0,0,0,0.0
116,WLStarLearner,random_PDFA_nominal_size_200_8_2,205,205,9,34.90192582993768,3852,7,429.0,9.0,,,0.0,0.0,1.0,0,0,0.0
117,WLStarLearner,random_PDFA_nominal_size_200_8_3,188,188,1,22.063842766918242,3492,6,389.0,9.0,,,0.0,0.0,1.0,0,0,0.0
118,WLStarLearner,random_PDFA_nominal_size_200_8_3,188,188,2,21.923107449896634,3492,6,389.0,9.0,,,0.0,0.0,1.0,0,0,0.0
119,WLStarLearner,random_PDFA_nominal_size_200_8_3,188,188,3,22.91224558488466,3492,6,389.0,9.0,,,0.0,0.0,1.0,0,0,0.0
120,WLStarLearner,random_PDFA_nominal_size_200_8_3,188,188,4,22.4715808047913,3492,6,389.0,9.0,,,0.0,0.0,1.0,0,0,0.0
121,WLStarLearner,random_PDFA_nominal_size_200_8_3,188,188,5,22.482035817811266,3492,6,389.0,9.0,,,0.0,0.0,1.0,0,0,0.0
122,WLStarLearner,random_PDFA_nominal_size_200_8_3,188,188,6,23.697491286089644,3492,6,389.0,9.0,,,0.0,0.0,1.0,0,0,0.0
123,WLStarLearner,random_PDFA_nominal_size_200_8_3,188,188,7,23.61476242984645,3492,6,389.0,9.0,,,0.0,0.0,1.0,0,0,0.0
124,WLStarLearner,random_PDFA_nominal_size_200_8_3,188,188,8,23.901932044886053,3492,6,389.0,9.0,,,0.0,0.0,1.0,0,0,0.0
125,WLStarLearner,random_PDFA_nominal_size_200_8_3,188,188,9,23.58264531614259,3492,6,389.0,9.0,,,0.0,0.0,1.0,0,0,0.0
126,WLStarLearner,random_PDFA_nominal_size_200_8_4,214,214,1,27.043261755956337,3050,5,437.0,7.0,,,0.0,0.0,1.0,0,0,0.0
127,WLStarLearner,random_PDFA_nominal_size_200_8_4,214,214,2,27.32660616002977,3050,5,437.0,7.0,,,0.0,0.0,1.0,0,0,0.0
128,WLStarLearner,random_PDFA_nominal_size_200_8_4,214,214,3,26.894445277983323,3050,5,437.0,7.0,,,0.0,0.0,1.0,0,0,0.0
129,WLStarLearner,random_PDFA_nominal_size_200_8_4,214,214,4,27.049445912940428,3050,5,437.0,7.0,,,0.0,0.0,1.0,0,0,0.0
130,WLStarLearner,random_PDFA_nominal_size_200_8_4,214,214,5,27.171942587941885,3050,5,437.0,7.0,,,0.0,0.0,1.0,0,0,0.0
131,WLStarLearner,random_PDFA_nominal_size_200_8_4,214,214,6,28.571748689981177,3050,5,437.0,7.0,,,0.0,0.0,1.0,0,0,0.0
132,WLStarLearner,random_PDFA_nominal_size_200_8_4,214,214,7,26.99763461505063,3050,5,437.0,7.0,,,0.0,0.0,1.0,0,0,0.0
133,WLStarLearner,random_PDFA_nominal_size_200_8_4,214,214,8,27.469891645014286,3050,5,437.0,7.0,,,0.0,0.0,1.0,0,0,0.0
134,WLStarLearner,random_PDFA_nominal_size_200_8_4,214,214,9,26.870925115188584,3050,5,437.0,7.0,,,0.0,0.0,1.0,0,0,0.0
135,WLStarLearner,random_PDFA_nominal_size_200_8_5,204,204,1,33.223197889048606,3343,6,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
136,WLStarLearner,random_PDFA_nominal_size_200_8_5,204,204,2,29.90592997195199,3343,6,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
137,WLStarLearner,random_PDFA_nominal_size_200_8_5,204,204,3,29.245799886994064,3343,6,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
138,WLStarLearner,random_PDFA_nominal_size_200_8_5,204,204,4,28.940591358114034,3343,6,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
139,WLStarLearner,random_PDFA_nominal_size_200_8_5,204,204,5,29.67437421088107,3343,6,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
140,WLStarLearner,random_PDFA_nominal_size_200_8_5,204,204,6,29.984695554012433,3343,6,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
141,WLStarLearner,random_PDFA_nominal_size_200_8_5,204,204,7,29.02059275796637,3343,6,419.0,8.0,,,0.0,0.0,1.0,0,0,0.0
