,Algorithm,Instance,Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,LogProbError,WER,NDCG,OOPartition,OOTolerance
110,QuantNaryTreeLearner,PDFA - 8cec3fdb37394560a90d0ad315dd8716,2011,3,216.1819695662707,12132,7,,,0,0.0,0.0,1.0,0,0
111,QuantNaryTreeLearner,PDFA - 8cec3fdb37394560a90d0ad315dd8716,2011,4,216.7463400643319,12132,7,,,0,0.0,0.0,1.0,0,0
112,QuantNaryTreeLearner,PDFA - 8cec3fdb37394560a90d0ad315dd8716,2011,5,216.64346667006612,12132,7,,,0,0.0,0.0,1.0,0,0
113,QuantNaryTreeLearner,PDFA - 8cec3fdb37394560a90d0ad315dd8716,2011,6,215.88617674261332,12132,7,,,0,0.0,0.0,1.0,0,0
114,QuantNaryTreeLearner,PDFA - 8cec3fdb37394560a90d0ad315dd8716,2011,7,216.54744179360569,12132,7,,,0,0.0,0.0,1.0,0,0
115,QuantNaryTreeLearner,PDFA - 8cec3fdb37394560a90d0ad315dd8716,2011,8,216.41230362467468,12132,7,,,0,0.0,0.0,1.0,0,0
116,QuantNaryTreeLearner,PDFA - 8cec3fdb37394560a90d0ad315dd8716,2011,9,215.89922279305756,12132,7,,,0,0.0,0.0,1.0,0,0
117,QuantNaryTreeLearner,PDFA - 14567dbca7ca488789f37911feda89f7,1979,1,199.7279036361724,11952,7,,,0,0.0,0.0,1.0,0,0
118,QuantNaryTreeLearner,PDFA - 14567dbca7ca488789f37911feda89f7,1979,2,198.62901017814875,11952,7,,,0,0.0,0.0,1.0,0,0
119,QuantNaryTreeLearner,PDFA - 14567dbca7ca488789f37911feda89f7,1979,3,198.42368517257273,11952,7,,,0,0.0,0.0,1.0,0,0
120,QuantNaryTreeLearner,PDFA - 14567dbca7ca488789f37911feda89f7,1979,4,199.587321953848,11952,7,,,0,0.0,0.0,1.0,0,0
121,QuantNaryTreeLearner,PDFA - 14567dbca7ca488789f37911feda89f7,1979,5,199.25417131371796,11952,7,,,0,0.0,0.0,1.0,0,0
122,QuantNaryTreeLearner,PDFA - 14567dbca7ca488789f37911feda89f7,1979,6,198.20378911867738,11952,7,,,0,0.0,0.0,1.0,0,0
123,QuantNaryTreeLearner,PDFA - 14567dbca7ca488789f37911feda89f7,1979,7,198.31647972762585,11952,7,,,0,0.0,0.0,1.0,0,0
124,QuantNaryTreeLearner,PDFA - 14567dbca7ca488789f37911feda89f7,1979,8,199.39328990504146,11952,7,,,0,0.0,0.0,1.0,0,0
125,QuantNaryTreeLearner,PDFA - 14567dbca7ca488789f37911feda89f7,1979,9,198.11800863593817,11952,7,,,0,0.0,0.0,1.0,0,0
126,QuantNaryTreeLearner,PDFA - d6acc108474447739c9565a3106acd56,1955,1,199.08271164819598,11781,7,,,0,0.0,0.0,1.0,0,0
127,QuantNaryTreeLearner,PDFA - d6acc108474447739c9565a3106acd56,1955,2,199.2462891396135,11781,7,,,0,0.0,0.0,1.0,0,0
128,QuantNaryTreeLearner,PDFA - d6acc108474447739c9565a3106acd56,1955,3,198.3936650995165,11781,7,,,0,0.0,0.0,1.0,0,0
129,QuantNaryTreeLearner,PDFA - d6acc108474447739c9565a3106acd56,1955,4,198.91454759985209,11781,7,,,0,0.0,0.0,1.0,0,0
130,QuantNaryTreeLearner,PDFA - d6acc108474447739c9565a3106acd56,1955,5,198.18089734576643,11781,7,,,0,0.0,0.0,1.0,0,0
131,QuantNaryTreeLearner,PDFA - d6acc108474447739c9565a3106acd56,1955,6,197.914564255625,11781,7,,,0,0.0,0.0,1.0,0,0
132,QuantNaryTreeLearner,PDFA - d6acc108474447739c9565a3106acd56,1955,7,199.27345543541014,11781,7,,,0,0.0,0.0,1.0,0,0
133,QuantNaryTreeLearner,PDFA - d6acc108474447739c9565a3106acd56,1955,8,198.91029762476683,11781,7,,,0,0.0,0.0,1.0,0,0
134,QuantNaryTreeLearner,PDFA - d6acc108474447739c9565a3106acd56,1955,9,199.04159839637578,11781,7,,,0,0.0,0.0,1.0,0,0
135,QuantNaryTreeLearner,PDFA - 2f97dbe97d804995b2a196521d1c06ae,2035,1,215.22833325341344,12264,7,,,0,0.0,0.0,1.0,0,0
136,QuantNaryTreeLearner,PDFA - 2f97dbe97d804995b2a196521d1c06ae,2035,2,214.44043713249266,12264,7,,,0,0.0,0.0,1.0,0,0
137,QuantNaryTreeLearner,PDFA - 2f97dbe97d804995b2a196521d1c06ae,2035,3,213.4889369867742,12264,7,,,0,0.0,0.0,1.0,0,0
138,QuantNaryTreeLearner,PDFA - 2f97dbe97d804995b2a196521d1c06ae,2035,4,214.40714319236577,12264,7,,,0,0.0,0.0,1.0,0,0
139,QuantNaryTreeLearner,PDFA - 2f97dbe97d804995b2a196521d1c06ae,2035,5,214.4121479112655,12264,7,,,0,0.0,0.0,1.0,0,0
140,QuantNaryTreeLearner,PDFA - 2f97dbe97d804995b2a196521d1c06ae,2035,6,214.62451522238553,12264,7,,,0,0.0,0.0,1.0,0,0
141,QuantNaryTreeLearner,PDFA - 2f97dbe97d804995b2a196521d1c06ae,2035,7,213.91669276356697,12264,7,,,0,0.0,0.0,1.0,0,0
142,QuantNaryTreeLearner,PDFA - 2f97dbe97d804995b2a196521d1c06ae,2035,8,214.4723449293524,12264,7,,,0,0.0,0.0,1.0,0,0
143,QuantNaryTreeLearner,PDFA - 2f97dbe97d804995b2a196521d1c06ae,2035,9,213.80004725418985,12264,7,,,0,0.0,0.0,1.0,0,0
144,QuantNaryTreeLearner,PDFA - 0180f0b4784c4261adebb8c6e168a0bb,2017,1,215.77849947661161,12183,6,,,0,0.0,0.0,1.0,0,0
145,QuantNaryTreeLearner,PDFA - 0180f0b4784c4261adebb8c6e168a0bb,2017,2,216.3919221945107,12183,6,,,0,0.0,0.0,1.0,0,0
146,QuantNaryTreeLearner,PDFA - 0180f0b4784c4261adebb8c6e168a0bb,2017,3,215.67917703837156,12183,6,,,0,0.0,0.0,1.0,0,0
147,QuantNaryTreeLearner,PDFA - 0180f0b4784c4261adebb8c6e168a0bb,2017,4,216.861259508878,12183,6,,,0,0.0,0.0,1.0,0,0
148,QuantNaryTreeLearner,PDFA - 0180f0b4784c4261adebb8c6e168a0bb,2017,5,215.9607201218605,12183,6,,,0,0.0,0.0,1.0,0,0
149,QuantNaryTreeLearner,PDFA - 0180f0b4784c4261adebb8c6e168a0bb,2017,6,215.06042573228478,12183,6,,,0,0.0,0.0,1.0,0,0
150,QuantNaryTreeLearner,PDFA - 0180f0b4784c4261adebb8c6e168a0bb,2017,7,217.25003754533827,12183,6,,,0,0.0,0.0,1.0,0,0
151,QuantNaryTreeLearner,PDFA - 0180f0b4784c4261adebb8c6e168a0bb,2017,8,216.61864310316741,12183,6,,,0,0.0,0.0,1.0,0,0
152,QuantNaryTreeLearner,PDFA - 0180f0b4784c4261adebb8c6e168a0bb,2017,9,215.85878318548203,12183,6,,,0,0.0,0.0,1.0,0,0
153,QuantNaryTreeLearner,PDFA - 61686662598b442c88df3f6cd884d64f,2035,1,210.152620986104,12255,5,,,0,0.0,0.0,1.0,0,0
154,QuantNaryTreeLearner,PDFA - 61686662598b442c88df3f6cd884d64f,2035,2,209.9238212145865,12255,5,,,0,0.0,0.0,1.0,0,0
155,QuantNaryTreeLearner,PDFA - 61686662598b442c88df3f6cd884d64f,2035,3,208.52441827207804,12255,5,,,0,0.0,0.0,1.0,0,0
156,QuantNaryTreeLearner,PDFA - 61686662598b442c88df3f6cd884d64f,2035,4,207.36376512423158,12255,5,,,0,0.0,0.0,1.0,0,0
157,QuantNaryTreeLearner,PDFA - 61686662598b442c88df3f6cd884d64f,2035,5,209.04080117866397,12255,5,,,0,0.0,0.0,1.0,0,0
158,QuantNaryTreeLearner,PDFA - 61686662598b442c88df3f6cd884d64f,2035,6,208.9084835294634,12255,5,,,0,0.0,0.0,1.0,0,0
159,QuantNaryTreeLearner,PDFA - 61686662598b442c88df3f6cd884d64f,2035,7,208.35172054171562,12255,5,,,0,0.0,0.0,1.0,0,0
160,QuantNaryTreeLearner,PDFA - 61686662598b442c88df3f6cd884d64f,2035,8,208.6607006471604,12255,5,,,0,0.0,0.0,1.0,0,0
161,QuantNaryTreeLearner,PDFA - 61686662598b442c88df3f6cd884d64f,2035,9,209.57263067923486,12255,5,,,0,0.0,0.0,1.0,0,0
162,QuantNaryTreeLearner,PDFA - 81e3ef0fef8d410bbd695590c42d6a04,1985,1,223.24895202368498,11964,8,,,0,0.0,0.0,1.0,0,0
163,QuantNaryTreeLearner,PDFA - 81e3ef0fef8d410bbd695590c42d6a04,1985,2,222.93056767247617,11964,8,,,0,0.0,0.0,1.0,0,0
164,QuantNaryTreeLearner,PDFA - 81e3ef0fef8d410bbd695590c42d6a04,1985,3,222.85385327413678,11964,8,,,0,0.0,0.0,1.0,0,0
165,QuantNaryTreeLearner,PDFA - 81e3ef0fef8d410bbd695590c42d6a04,1985,4,223.7579350490123,11964,8,,,0,0.0,0.0,1.0,0,0
166,QuantNaryTreeLearner,PDFA - 81e3ef0fef8d410bbd695590c42d6a04,1985,5,222.50794115662575,11964,8,,,0,0.0,0.0,1.0,0,0
167,QuantNaryTreeLearner,PDFA - 81e3ef0fef8d410bbd695590c42d6a04,1985,6,222.22570186667144,11964,8,,,0,0.0,0.0,1.0,0,0
168,QuantNaryTreeLearner,PDFA - 81e3ef0fef8d410bbd695590c42d6a04,1985,7,222.5841543097049,11964,8,,,0,0.0,0.0,1.0,0,0
169,QuantNaryTreeLearner,PDFA - 81e3ef0fef8d410bbd695590c42d6a04,1985,8,222.3598823044449,11964,8,,,0,0.0,0.0,1.0,0,0
