,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,Partitions,Tolerance
84,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,4,1.8374988589785062,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
85,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,5,1.9845204390003346,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
86,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,6,1.8518569820153061,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
87,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,7,1.8320361560035963,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
88,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,8,1.8256466079910751,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
89,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,9,1.8289941859839018,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,1000,0.001
90,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,1,1.8142045149870683,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
91,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,2,1.881829502992332,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
92,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,3,1.845930948999012,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
93,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,4,1.8492539610015228,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
94,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,5,1.8321169670089148,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
95,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,6,1.8771310230076779,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
96,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,7,1.836901490984019,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
97,WLStarLearner,PDFA - c3582fedda104a1481e7a1c6b6c62453,94,94,8,1.9056804189749528,558,1,189.0,3.0,,,0.0,0.0,1.0,0,0,2000,0.0005
